,Country,Rank,Title,Artists,Album,Explicit,Duration
765,Ecuador,16,Jangueo,"Alex Rose, Rafa Pabön",LOST,0,4:19
766,Ecuador,17,La Difícil,Bad Bunny,YHLQMDLG,1,2:43
767,Ecuador,18,Si Veo a Tu Mamá,Bad Bunny,YHLQMDLG,0,2:50
768,Ecuador,19,Diosa,Myke Towers,Easy Money Baby,1,3:34
769,Ecuador,20,BYE ME FUI,Bad Bunny,LAS QUE NO IBAN A SALIR,1,2:58
770,Ecuador,21,Sigues Con El,"Dímelo Flow, Arcangel, Sech",Sigues Con El,0,3:46
771,Ecuador,22,Azul,J Balvin,Colores,0,3:25
772,Ecuador,23,Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,0,3:29
773,Ecuador,24,Don't Start Now,Dua Lipa,Future Nostalgia,0,3:03
774,Ecuador,25,Fantasias,"Rauw Alejandro, Farruko",Fantasias,0,3:19
775,Ecuador,26,No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny",Famouz,0,5:09
776,Ecuador,27,PA' ROMPERLA,"Bad Bunny, Don Omar",LAS QUE NO IBAN A SALIR,1,3:14
777,Ecuador,28,Sigues Con El - Remix,"Arcangel, Sech, Romeo Santos",Sigues Con El (Remix),0,3:09
778,Ecuador,29,Locura,"Cali Y El Dandee, Sebastian Yatra",Colegio,0,3:29
779,Ecuador,30,El Efecto,"Rauw Alejandro, Chencho Corleone",El Efecto,0,3:37
780,Ecuador,31,Por Primera Vez,"Camilo, Evaluna Montaner",Por Primera Vez,0,3:02
781,Ecuador,32,CÓMO SE SIENTE - Remix,"Jhay Cortez, Bad Bunny",CÓMO SE SIENTE (Remix),1,3:47
782,Ecuador,33,LA CANCIÓN,"J Balvin, Bad Bunny",OASIS,0,4:02
783,Ecuador,34,Los Besos,Greeicy,Los Besos,0,3:22
784,Ecuador,35,CANCIÓN CON YANDEL,"Yandel, Bad Bunny",LAS QUE NO IBAN A SALIR,1,3:29
785,Ecuador,36,La Santa,"Bad Bunny, Daddy Yankee",YHLQMDLG,1,3:26
786,Ecuador,37,Vete,Bad Bunny,YHLQMDLG,1,3:12
787,Ecuador,38,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),1,2:56
788,Ecuador,39,Detente,"Mike Bahía, Danny Ocean",Navegando,0,3:01
789,Ecuador,40,A Tu Merced,Bad Bunny,YHLQMDLG,0,2:55
790,Ecuador,41,Si Me Dices Que Sí,"Reik, Farruko, Camilo",Si Me Dices Que Sí,0,3:31
791,Ecuador,42,Tutu,"Camilo, Pedro Capó",Por Primera Vez,0,2:59
792,Ecuador,43,Blanco,J Balvin,Colores,0,2:25
793,Ecuador,44,Callaita,"Bad Bunny, Tainy",Callaita,1,4:10
794,Ecuador,45,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",death bed (coffee for your head) (feat. beabadoobee),0,2:53
795,Ecuador,46,Negro,J Balvin,Colores,0,3:02
796,Ecuador,47,China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",China,0,5:01
797,Ecuador,48,Quiéreme Mientras Se Pueda,Manuel Turizo,Quiéreme Mientras Se Pueda,0,3:11
798,Ecuador,49,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),0,3:02
799,Ecuador,50,ADMV,Maluma,ADMV,0,3:13
800,El,1,Safaera,"Bad Bunny, Jowell & Randy, Nengo Flow",YHLQMDLG,1,4:55
801,El,2,Rojo,J Balvin,Colores,0,2:30
802,El,3,Yo Perreo Sola,Bad Bunny,YHLQMDLG,0,2:52
803,El,4,Favorito,Camilo,Por Primera Vez,0,3:29
804,El,5,Tattoo,Rauw Alejandro,Tattoo,0,3:22
805,El,6,Blinding Lights,The Weeknd,After Hours,0,3:20
806,El,7,Hola - Remix,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",Hola (Remix),0,4:09
807,El,8,BYE ME FUI,Bad Bunny,LAS QUE NO IBAN A SALIR,1,2:58
808,El,9,La Difícil,Bad Bunny,YHLQMDLG,1,2:43
809,El,10,Si Veo a Tu Mamá,Bad Bunny,YHLQMDLG,0,2:50
810,El,11,Elegí (feat. Dímelo Flow),"Rauw Alejandro, Dalex, Lenny Tavárez, Dímelo Flow",Elegí (feat. Dímelo Flow),0,3:17
811,El,12,Ignorantes,"Bad Bunny, Sech",YHLQMDLG,1,3:30
812,El,13,Fantasias,"Rauw Alejandro, Farruko",Fantasias,0,3:19
813,El,14,La Santa,"Bad Bunny, Daddy Yankee",YHLQMDLG,1,3:26
814,El,15,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),0,3:02
815,El,16,Sigues Con El,"Dímelo Flow, Arcangel, Sech",Sigues Con El,0,3:46
816,El,17,CANCIÓN CON YANDEL,"Yandel, Bad Bunny",LAS QUE NO IBAN A SALIR,1,3:29
817,El,18,Vete,Bad Bunny,YHLQMDLG,1,3:12
818,El,19,CÓMO SE SIENTE - Remix,"Jhay Cortez, Bad Bunny",CÓMO SE SIENTE (Remix),1,3:47
819,El,20,Diosa,Myke Towers,Easy Money Baby,1,3:34
820,El,21,No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny",Famouz,0,5:09
821,El,22,LA CANCIÓN,"J Balvin, Bad Bunny",OASIS,0,4:02
822,El,23,Tusa,"KAROL G, Nicki Minaj",Tusa,0,3:20
823,El,24,Morado,J Balvin,Colores,0,3:20
824,El,25,Don't Start Now,Dua Lipa,Future Nostalgia,0,3:03
825,El,26,PORFA,"Feid, Justin Quiles",FERXXO (VOL 1: M.O.R),0,3:52
826,El,27,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",death bed (coffee for your head) (feat. beabadoobee),0,2:53
827,El,28,Pa' Olvidarme De Ella,"Piso 21, Christian Nodal",Pa' Olvidarme De Ella,1,3:47
828,El,29,Relación,Sech,1 of 1,0,3:04
829,El,30,Amarillo,J Balvin,Colores,0,2:37
830,El,31,Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,0,3:29
831,El,32,Jangueo,"Alex Rose, Rafa Pabön",LOST,0,4:19
832,El,33,PA' ROMPERLA,"Bad Bunny, Don Omar",LAS QUE NO IBAN A SALIR,1,3:14
833,El,34,Callaita,"Bad Bunny, Tainy",Callaita,1,4:10
834,El,35,El Efecto - Remix,"Rauw Alejandro, Chencho Corleone, KEVVO, Bryant Myers, Lyanno, Dalex",El Efecto (Remix),1,4:49
835,El,36,BAD CON NICKY,"Bad Bunny, Nicky Jam",LAS QUE NO IBAN A SALIR,1,3:22
836,El,37,A Tu Merced,Bad Bunny,YHLQMDLG,0,2:55
837,El,38,MÁS DE UNA CITA,"Bad Bunny, Zion & Lennox",LAS QUE NO IBAN A SALIR,1,3:03
838,El,39,Bajo La Mesa,"Morat, Sebastian Yatra",Bajo La Mesa,0,2:37
839,El,40,Adicto (with Anuel AA & Ozuna),"Tainy, Anuel AA, Ozuna",Adicto (with Anuel AA & Ozuna),0,4:30
840,El,41,Sigues Con El - Remix,"Arcangel, Sech, Romeo Santos",Sigues Con El (Remix),0,3:09
841,El,42,Bellaquita - Remix,"Dalex, Lenny Tavárez, Anitta, Natti Natasha, Farruko, Justin Quiles",Modo Avión,1,5:04
842,El,43,El Efecto,"Rauw Alejandro, Chencho Corleone",El Efecto,0,3:37
843,El,44,Por Primera Vez,"Camilo, Evaluna Montaner",Por Primera Vez,0,3:02
844,El,45,Qué Maldición,"Banda MS de Sergio Lizárraga, Snoop Dogg",Qué Maldición,0,3:23
845,El,46,Azul,J Balvin,Colores,0,3:25
846,El,47,Tutu,"Camilo, Pedro Capó",Por Primera Vez,0,2:59
847,El,48,China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",China,0,5:01
848,El,49,Quiéreme Mientras Se Pueda,Manuel Turizo,Quiéreme Mientras Se Pueda,0,3:11
849,El,50,Quizas,"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid, Wisin, Zion",The Academy,1,3:36
850,Estonia,1,Croissantid,Nublu,Croissantid,0,2:36
851,Estonia,2,Blinding Lights,The Weeknd,After Hours,0,3:20
852,Estonia,3,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),1,2:56
853,Estonia,4,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),0,3:02
854,Estonia,5,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01
855,Estonia,6,Young Boy,NOËP,Young Boy,0,2:33
856,Estonia,7,GOOBA,6ix9ine,GOOBA,1,2:12
857,Estonia,8,Aluspükse,"5MIINUST, Nublu",Aluspükse,0,3:30
858,Estonia,9,ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),0,2:56
859,Estonia,10,für Oksana,"Nublu, gameboy tetris",für Oksana,0,3:14
860,Estonia,11,Paaristõuked,"5MIINUST, Villemdrillem",Paaristõuked,0,3:33
861,Estonia,12,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",death bed (coffee for your head) (feat. beabadoobee),0,2:53
862,Estonia,13,Toosie Slide,Drake,Dark Lane Demo Tapes,1,4:07
863,Estonia,14,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS,1,2:45
864,Estonia,15,In Your Eyes,The Weeknd,After Hours,1,3:57
865,Estonia,16,Breaking Me,"Topic, A7S",Breaking Me,0,2:46
866,Estonia,17,Blueberry Faygo,Lil Mosey,Certified Hitmaker,1,2:42
867,Estonia,18,Supalonely,"BENEE, Gus Dapperton",STELLA & STEVE,1,3:43
868,Estonia,19,Don't Start Now,Dua Lipa,Future Nostalgia,0,3:03
869,Estonia,20,Watermelon Sugar,Harry Styles,Fine Line,0,2:54
870,Estonia,21,The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,1,3:16
871,Estonia,22,Break My Heart,Dua Lipa,Future Nostalgia,0,3:41
872,Estonia,23,Boss Bitch,Doja Cat,Boss Bitch,0,2:14
873,Estonia,24,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",Stuck with U,0,3:48
874,Estonia,25,Falling,Trevor Daniel,Nicotine,0,2:39
875,Estonia,26,Be Kind (with Halsey),"Marshmello, Halsey",Be Kind (with Halsey),0,2:52
876,Estonia,27,Daechwita,Agust D,D-2,1,3:45
877,Estonia,28,SOS (Siimi Remix),"Pluuto, Nublu, Reket, Siimi",SOS (Siimi Remix),0,3:50
878,Estonia,29,Ooh Aah,Cdeep,Deep Sense,0,2:41
879,Estonia,30,Say So,Doja Cat,Hot Pink,1,3:57
880,Estonia,31,Sunday Best,Surfaces,Where the Light Is,0,2:38
881,Estonia,32,Kuule,Karl-Erik Taukar,Kuule,0,3:20
882,Estonia,33,WHATS POPPIN,Jack Harlow,Sweet Action,1,2:19
883,Estonia,34,Circles,Post Malone,Hollywood's Bleeding,0,3:35
884,Estonia,35,Play Date,Melanie Martinez,Cry Baby (Deluxe Edition),1,2:59
885,Estonia,36,öölaps!,Nublu,Mind on Mitu,0,3:12
886,Estonia,37,Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,0,3:29
887,Estonia,38,Party Girl,StaySolidRocky,Party Girl,0,2:27
888,Estonia,39,Tsirkus,"5MIINUST, Nublu, PLUUTO",Tsirkus,0,4:41
889,Estonia,40,ROXANNE,Arizona Zervas,ROXANNE,1,2:43
890,Estonia,41,Adore You,Harry Styles,Fine Line,0,3:27
891,Estonia,42,I Got Love,"MiyaGi & Endspiel, Rem Digga",I Got Love,0,4:36
892,Estonia,43,Life Is Good (feat. Drake),"Future, Drake",High Off Life,1,3:57
893,Estonia,44,everything i wanted,Billie Eilish,everything i wanted,0,4:05
894,Estonia,45,Intentions (feat. Quavo),"Justin Bieber, Quavo",Changes,0,3:32
895,Estonia,46,goosebumps,Travis Scott,Birds In The Trap Sing McKnight,1,4:03
896,Estonia,47,Ma Kuulsin Seda Läbi Viinamarjaväädi,Reket,Kulutuli,0,3:08
897,Estonia,48,Ride It,Regard,Ride It,0,2:37
898,Estonia,49,Say So (feat. Nicki Minaj),"Doja Cat, Nicki Minaj",Say So (feat. Nicki Minaj),1,3:26
899,Estonia,50,HIGHEST IN THE ROOM,Travis Scott,HIGHEST IN THE ROOM,1,2:55
900,Finland,1,Tässäkö tää oli? (feat. Leavings-Orkesteri),"Arttu Wiskari, Leavings-Orkesteri",Tässäkö tää oli? (feat. Leavings-Orkesteri),0,3:42
901,Finland,2,Blinding Lights,The Weeknd,After Hours,0,3:20
902,Finland,3,Penelope (feat. Clever),"william, Clever",Penelope (feat. Clever),0,3:03
903,Finland,4,GOOBA,6ix9ine,GOOBA,1,2:12
904,Finland,5,Christian Rapper,Devo,Christian Rapper,0,2:32
905,Finland,6,Believe Me - Remastered,"Devo, Janni",Believe Me (Remastered),1,3:02
906,Finland,7,Yhtenä sunnuntaina,Erin,Yhtenä sunnuntaina,0,3:39
907,Finland,8,"Liian vähän, liian myöhään",Evelina,"Liian vähän, liian myöhään",0,3:15
908,Finland,9,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01
909,Finland,10,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),0,3:02
910,Finland,11,100%,"Keko Salata, BESS, Sexmane",100%,0,3:23
911,Finland,12,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),1,2:56
912,Finland,13,Tivolit,BEHM,Tivolit,0,3:31
913,Finland,14,100,Kube,100,0,2:47
914,Finland,15,Boss Bitch,Doja Cat,Boss Bitch,0,2:14
915,Finland,16,Epäröimättä hetkeekään,"Elastinen, Jenni Vartiainen",Epäröimättä hetkeekään,0,3:20
916,Finland,17,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS,1,2:45
917,Finland,18,Breaking Me,"Topic, A7S",Breaking Me,0,2:46
918,Finland,19,Kings & Queens,Ava Max,Kings & Queens,0,2:42
919,Finland,20,Hei rakas,BEHM,Hei rakas,0,3:31
920,Finland,21,Thank You [Not So Bad],"VIZE, Felix Jaehn",Thank You [Not So Bad],0,3:17
921,Finland,22,Ikuinen vappu,JVG,RATA/RAITTI,0,3:07
922,Finland,23,Break My Heart,Dua Lipa,Future Nostalgia,0,3:41
923,Finland,24,LINKO,"Lord Est, MEGA-Ertsi",LINKO,0,3:12
924,Finland,25,Blueberry Faygo,Lil Mosey,Certified Hitmaker,1,2:42
925,Finland,26,Tuhansien Lärvien Maa,Petri Nygård,Tuhansien Lärvien Maa,0,2:37
926,Finland,27,Supalonely,"BENEE, Gus Dapperton",STELLA & STEVE,1,3:43
927,Finland,28,"Parempi yksin - Recorded At Spotify Studios, Stockholm",Pyhimys,Spotify Singles,0,3:02
928,Finland,29,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",Stuck with U,0,3:48
929,Finland,30,In Your Eyes,The Weeknd,After Hours,1,3:57
930,Finland,31,Valonsäteet,Vesta,Valonsäteet,0,3:49
931,Finland,32,Komm Komm,Capital Bra,Komm Komm,0,2:40
932,Finland,33,Toosie Slide,Drake,Dark Lane Demo Tapes,1,4:07
933,Finland,34,Hengitä,Tuure Boelius,Hengitä,0,2:40
934,Finland,35,Salt,Ava Max,Salt,0,3:00
935,Finland,36,Teipillä tai rakkaudella,ABREU,Teipillä tai rakkaudella,0,3:15
936,Finland,37,Lose Somebody,"Kygo, OneRepublic",Lose Somebody,0,3:19
937,Finland,38,Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,0,3:29
938,Finland,39,Play Date,Melanie Martinez,Cry Baby (Deluxe Edition),1,2:59
939,Finland,40,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",death bed (coffee for your head) (feat. beabadoobee),0,2:53
940,Finland,41,LA Money,ALMA,Have U Seen Her?,1,2:53
941,Finland,42,ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),0,2:56
942,Finland,43,Herkku,"Seksikäs-Suklaa, Dosdela",Herkku,0,2:51
943,Finland,44,KYSYMYS (feat. Pyhimys),"Cledos, Pyhimys",KYSYMYS (feat. Pyhimys),0,2:42
944,Finland,45,Cicciolina,Erika Vikman,Cicciolina,0,2:58
945,Finland,46,Naamat,HesaÄijä,Naamat,0,3:04
946,Finland,47,Be Kind (with Halsey),"Marshmello, Halsey",Be Kind (with Halsey),0,2:52
947,Finland,48,Physical,Dua Lipa,Future Nostalgia,0,3:13
948,Finland,49,WHATS POPPIN,Jack Harlow,Sweet Action,1,2:19
949,Finland,50,Haituvat,"Jukka Poika, Janna",Haituvat,0,3:08
950,France,1,Angela,Hatik,Chaise pliante,1,3:56
951,France,2,JAUNÉ,"Booba, Zed",JAUNÉ,1,3:35
952,France,3,Blinding Lights,The Weeknd,After Hours,0,3:20
953,France,4,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),1,2:56
954,France,5,Meleğim,"Soolking, Dadju",Vintage,0,3:40
955,France,6,Lettre à une femme,Ninho,M.I.L.S 3,1,2:37
956,France,7,Tusa,"KAROL G, Nicki Minaj",Tusa,0,3:20
957,France,8,ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),0,2:56
958,France,9,6.3,"Naps, Ninho",Carré VIP,1,3:32
959,France,10,Sousou,Jul,Sousou,1,3:57
960,France,11,Bro Bro,Zola,Bro Bro,1,2:24
961,France,12,Blanche,"Maes, Booba",Les derniers salopards,1,3:13
962,France,13,Toosie Slide,Drake,Dark Lane Demo Tapes,1,4:07
963,France,14,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",death bed (coffee for your head) (feat. beabadoobee),0,2:53
964,France,15,MAMACITA,"Black Eyed Peas, Ozuna, J. Rey Soul",MAMACITA,1,4:09
965,France,16,Criminel (feat. Niska),"Bramsito, Niska",Criminel,1,3:16
966,France,17,Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,0,3:29
967,France,18,Skechers,DripReport,Skechers,1,1:46
968,France,19,Distant,"Maes, Ninho",Les derniers salopards,1,2:42
969,France,20,Ride It,Regard,Ride It,0,2:37
970,France,21,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),0,3:02
971,France,22,Zipette,Ninho,M.I.L.S 3,1,3:31
972,France,23,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS,1,2:45
973,France,24,Ne reviens pas,"Gradur, Heuss L'enfoiré",Zone 59,1,3:08
974,France,25,GOOBA,6ix9ine,GOOBA,1,2:12
975,France,26,Dybala,"Maes, Jul",Les derniers salopards,1,3:31
976,France,27,1ère fois,"Imen Es, Alonzo",Nos vies,0,2:55
977,France,28,The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,1,3:16
978,France,29,La vie qu'on mène,Ninho,Destin,0,3:13
979,France,30,93% [Tijuana],"GLK, Landy, DA Uzi, Hornet La Frappe",Indécis,1,3:42
980,France,31,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01
981,France,32,MD (feat. Niska),"4Keus, Niska",Vie d'artiste,1,3:30
982,France,33,Salt,Ava Max,Salt,0,3:00
983,France,34,Crois-moi (feat. Ninho),"DA Uzi, Ninho",Architecte,1,3:03
984,France,35,Falling,Trevor Daniel,Nicotine,0,2:39
985,France,36,In Your Eyes,The Weeknd,After Hours,1,3:57
986,France,37,Breaking Me,"Topic, A7S",Breaking Me,0,2:46
987,France,38,Supalonely,"BENEE, Gus Dapperton",STELLA & STEVE,1,3:43
988,France,39,Moulaga,"Heuss L'enfoiré, Jul",Moulaga,1,2:59
989,France,40,Some Say,Nea,Some Say,0,2:55
990,France,41,Infinity - Dubdogz & Bhaskar Edit,"Dubdogz, Bhaskar",Infinity (Dubdogz & Bhaskar Edit),0,3:16
991,France,42,Train de vie (feat. PLK),"Leto, PLK",Virus: avant l'album,1,3:07
992,France,43,Prison pour mineurs,Hatik,Prison pour mineurs,1,1:34
993,France,44,Pirate,"Ninho, Hös Copperfield",Pirate,1,4:05
994,France,45,Physical,Dua Lipa,Future Nostalgia,0,3:13
995,France,46,Fait d'or,Jul,Fait d'or,1,5:15
996,France,47,So Maness,Soso Maness,So Maness,1,2:39
997,France,48,Sunday Best,Surfaces,Where the Light Is,0,2:38
998,France,49,Anissa,Wejdene,Anissa,0,2:55
999,France,50,Djomb,Bosh,Synkinisi,1,2:21
1000,Germany,1,Roadrunner,Bonez MC,Roadrunner,0,2:29
1001,Germany,2,Komm Komm,Capital Bra,Komm Komm,0,2:40
1002,Germany,3,Fame,Apache 207,Fame,0,2:53
1003,Germany,4,Airwaves,Pashanim,Airwaves,0,2:58
1004,Germany,5,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01
1005,Germany,6,Emotions,Ufo361,Rich Rich,0,2:26
1006,Germany,7,Blinding Lights,The Weeknd,After Hours,0,3:20
1007,Germany,8,GOOBA,6ix9ine,GOOBA,1,2:12
1008,Germany,9,FAVELA,Dardan,FAVELA,1,2:39
1009,Germany,10,Nicht verdient,"Capital Bra, Loredana",Nicht verdient,0,2:56
1010,Germany,11,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),1,2:56
1011,Germany,12,Toosie Slide,Drake,Dark Lane Demo Tapes,1,4:07
1012,Germany,13,ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),0,2:56
1013,Germany,14,GEHT NICH GIBS NICH,"KC Rebell, Summer Cem",GEHT NICH GIBS NICH,0,3:00
1014,Germany,15,Roller,Apache 207,Platte,1,2:37
1015,Germany,16,Late Night,Luciano,Late Night,0,3:20
1016,Germany,17,Breaking Me,"Topic, A7S",Breaking Me,0,2:46
1017,Germany,18,Ich würd' lügen,KAYEF,Struggle Is Real,0,2:43
1018,Germany,19,Maison,Luciano,Maison,0,3:13
1019,Germany,20,WEISSER RAUCH,FOURTY,WEISSER RAUCH,0,3:02
1020,Germany,21,Tränen aus Kajal,CÉLINE,Tränen aus Kajal,0,2:31
1021,Germany,22,Never Let Me Down,"VIZE, Tom Gregory",Never Let Me Down,0,2:33
1022,Germany,23,90-60-111,Shirin David,90-60-111,1,2:21
1023,Germany,24,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",death bed (coffee for your head) (feat. beabadoobee),0,2:53
1024,Germany,25,Some Say - Felix Jaehn Remix,"Nea, Felix Jaehn",Some Say (Felix Jaehn Remix),0,3:06
1025,Germany,26,Kings & Queens,Ava Max,Kings & Queens,0,2:42
1026,Germany,27,Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,0,3:29
1027,Germany,28,WIEDER MAL,"FOURTY, Monet192",WIEDER MAL,0,2:55
1028,Germany,29,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS,1,2:45
1029,Germany,30,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),0,3:02
1030,Germany,31,Te Amo Mi Amor,Sarah Lombardi,Te Amo Mi Amor,0,3:04
1031,Germany,32,Salt,Ava Max,Salt,0,3:00
1032,Germany,33,In Your Eyes (feat. Alida),"Robin Schulz, Alida",In Your Eyes (feat. Alida),0,3:28
1033,Germany,34,MAMACITA,"Black Eyed Peas, Ozuna, J. Rey Soul",MAMACITA,1,4:09
1034,Germany,35,Anders,Fero47,Anders,0,2:53
1035,Germany,36,BaeBae,Samra,Jibrail & Iblis,0,2:47
1036,Germany,37,Supalonely,"BENEE, Gus Dapperton",STELLA & STEVE,1,3:43
1037,Germany,38,Like I Love You,"Nico Santos, Topic",Nico Santos,0,3:23
1038,Germany,39,Trendsetter,"Nimo, Rina",Trendsetter,0,2:26
1039,Germany,40,Modela,Ardian Bujupi,Modela,0,2:34
1040,Germany,41,H <3 T E L,"Dardan, Monet192",H <3 T E L,0,2:44
1041,Germany,42,Namen,Kontra K,Namen,1,3:18
1042,Germany,43,Conan x Xenia,"Haftbefehl, Shirin David",Conan x Xenia,1,3:20
1043,Germany,44,Sehe schwarz,"Ra'is, XATAR",Sehe schwarz,1,3:07
1044,Germany,45,Rollercoaster,badmómzjay,Rollercoaster,1,2:45
1045,Germany,46,200 km/h,Apache 207,Platte,1,2:43
1046,Germany,47,The Passenger (LaLaLa),"LUM!X, MOKABY & D.T.E, Gabry Ponte",The Passenger (LaLaLa),0,2:39
1047,Germany,48,Rückspiegel,Sinan-G,Rückspiegel,0,2:33
1048,Germany,49,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",Stuck with U,0,3:48
1049,Germany,50,What's Luv,Shindy,Byzantinische Rose,1,2:13
1050,Greece,1,Millionaire,Snik,TOPBOY,1,2:35
1051,Greece,2,Why,Snik,TOPBOY,1,3:49
1052,Greece,3,TopBoy,"Snik, Capo Plaza",TOPBOY,1,2:26
1053,Greece,4,Cubano,Snik,TOPBOY,1,2:51
1054,Greece,5,Oh No,Snik,TOPBOY,1,3:02
1055,Greece,6,Online,Snik,TOPBOY,1,3:26
1056,Greece,7,PTSD,Snik,TOPBOY,1,2:58
1057,Greece,8,Highway,Snik,TOPBOY,1,1:57
1058,Greece,9,Sinefa,Snik,TOPBOY,1,2:43
1059,Greece,10,Rockstar,Snik,TOPBOY,1,2:13
1060,Greece,11,Colpo Grosso,"Snik, Guè Pequeno, Noizy, Capo Plaza",TOPBOY,1,4:33
1061,Greece,12,Drip,"Snik, Mad Clip",TOPBOY,1,2:27
1062,Greece,13,Medusa,Snik,TOPBOY,1,2:52
1063,Greece,14,Kilo,Snik,TOPBOY,1,3:00
1064,Greece,15,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS,1,2:45
1065,Greece,16,Cruel Summer,"DJ Stephan, Mad Clip, iLLEOo",Cruel Summer,1,3:32
1066,Greece,17,GOOBA,6ix9ine,GOOBA,1,2:12
1067,Greece,18,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),1,2:56
1068,Greece,19,Woh - Remix,"Fy, Light, MC Bin Laden, Mad Clip, Mente Fuerte",Woh (Remix),1,3:50
1069,Greece,20,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),0,3:02
1070,Greece,21,Senorita,"Snik, Tamta",Senorita,0,2:58
1071,Greece,22,Blinding Lights,The Weeknd,After Hours,0,3:20
1072,Greece,23,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01
1073,Greece,24,Kotera,Mad Clip,Kotera,1,2:52
1074,Greece,25,IG,"Slogan, MG",Big Chunes,1,2:39
1075,Greece,26,BIG MAN,Snik,BIG MAN,1,3:01
1076,Greece,27,Toosie Slide,Drake,Dark Lane Demo Tapes,1,4:07
1077,Greece,28,Who U,"MG, iLLEOo",Who U,1,2:33
1078,Greece,29,Eros,"DJ Stephan, Ypo, Sophia",Eros,1,3:02
1079,Greece,30,HIGHEST IN THE ROOM,Travis Scott,HIGHEST IN THE ROOM,1,2:55
1080,Greece,31,The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,1,3:16
1081,Greece,32,Slang,"Light, Billy Sio, Atc Nico",Slang,1,5:48
1082,Greece,33,SICKO MODE,Travis Scott,ASTROWORLD,1,5:12
